cardID,username,email,prename,surname,birthDate,sex,validityDate,state,,rights,street,postcode,city
6flx5ic7,MehHae,MeHa0042@stud.hs-kl.de,Mehmet,Haering,1999-12-27,male,2021-06-25,inactive,,user,Drewesallee 83,18483,Bad Kreuznach
mjp9rap7,AntLac,AnLa0067@stud.hs-kl.de,Antoinette,Lacroix,2014-06-04,female,2019-07-19,banned,,admin,Etzlergasse 6/1,71709,Leipziger Land
ivwujy5a,AleYou,AlYo0055@stud.hs-kl.de,Alexander,Young,2001-01-19,female,2020-11-19,active,,admin,Rita-Schaaf-Ring 4/9,93810,Sondershausen
glq11pnr,MarHam,MaHa0072@stud.hs-kl.de,Marguerite,Hamon,2001-10-18,female,2021-03-17,banned,,admin,Willibald-Seip-Ring 6/3,35844,Hoyerswerda
bjdobxy6,FelNic,FeNi0058@stud.hs-kl.de,Felicia,Nichols,2011-03-08,diverse,2019-09-06,active,,user,Hövelstr. 22,35845,Werdau
do17om77,ChaMas,ChMa0021@stud.hs-kl.de,Chantal,Masson,2001-01-30,female,2020-03-31,banned,,admin,Sabri-Käster-Weg 10,19179,Bad Liebenwerda
p70raal6,JusWil,JuWi0064@stud.hs-kl.de,Justin,Williams,2019-02-06,male,2020-11-02,banned,,user,Henckstr. 20,30084,Freising
ublx8lxx,AleMar,AlMa0093@stud.hs-kl.de,Alexandre,Mary,1977-01-20,diverse,2020-12-01,active,,admin,Massimo-Preiß-Weg 0/9,10291,Schlüchtern
b3rtn9bd,AlePoi,AlPo0016@stud.hs-kl.de,Alexandrie,Poirier,1992-11-30,female,2019-10-18,banned,,admin,Metzgasse 525,68440,Fürstenfeldbruck
zfyqg2m0,BerPag,BePa0079@stud.hs-kl.de,Bernadette,Pages,1983-02-26,female,2019-11-20,active,,admin,Dragica-Schomber-Gasse 93,86799,Perleberg
jovesqhp,DraGei,DrGe0038@stud.hs-kl.de,Drago,Geisel,2006-05-05,diverse,2020-04-17,active,,user,Speergasse 7/0,01295,Stadtroda
xhu370ew,AndSan,AnSa0076@stud.hs-kl.de,André,Sanchez,1975-03-21,female,2020-01-12,inactive,,user,Oestrovskyplatz 789,98483,Havelberg
acbcpbit,MarAck,MaAc0052@stud.hs-kl.de,Margrit,Ackermann,2006-05-16,diverse,2019-12-07,active,,user,Bonbachgasse 530,96551,Schwäbisch Gmünd
vjqxc6y8,CenPie,CePi0062@stud.hs-kl.de,Centa,Pieper,1980-05-04,female,2020-01-30,banned,,user,Sylvana-Dippel-Straße 5,55775,Gadebusch
b2o6d1zv,AndKli,AnKl0011@stud.hs-kl.de,Andrzej,Klingelhöfer,1986-03-20,male,2020-03-21,inactive,,admin,Berndt-Loos-Allee 921,29763,Pritzwalk
