cardID,username,email,prename,surname,birthDate,sex,validityDate,state,note,rights,street,postcode,city8rgsy8zl,robyat,roya0001@stud.hs-kl.de,Robert,Yates,1990-10-05,diverse,2021-02-06,inactive,note,user,Niemeierstraße 581,37030,Viechtach
htorgeoi,marwei,mawe0001@stud.hs-kl.de,Marie-Louise,Weitzel,1976-06-03,female,2019-12-01,inactive,note,user,Karl-Hermann-Schomber-Straße 29,11826,Emmendingen
wsh201ph,augber,aube0001@stud.hs-kl.de,Augustin,Berthelot,2004-01-03,male,2020-04-01,active,note,admin,Lea-Schmidtke-Straße 5,34741,Stadtsteinach
veyf90bk,milsau,misa0001@stud.hs-kl.de,Milos,Säuberlich,2002-01-16,diverse,2021-03-19,active,note,user,Faustplatz 031,30582,Schwandorf
vxqbzgpy,valpir,vapi0001@stud.hs-kl.de,Valentine,Pires,2004-10-12,male,2020-10-05,banned,note,user,Gutknechtgasse 176,43838,Goslar
rv91o3p0,undkos,unko0001@stud.hs-kl.de,Undine,Köster,2004-10-29,female,2020-09-29,banned,note,admin,Jaroslav-Schleich-Weg 27,70393,Bayreuth
wvkpun6c,melhum,mehu0001@stud.hs-kl.de,Melissa,Humphrey,1994-11-04,female,2020-07-14,active,note,admin,Mira-Ruppersberger-Allee 3,55700,Büsingen am Hochrhein
fmv3uiiq,jirbei,jibe0001@stud.hs-kl.de,Jiri,Beier,1970-05-29,male,2021-03-17,banned,note,admin,Christophplatz 7/9,20012,Herzberg
2julf65m,kenedw,keed0001@stud.hs-kl.de,Kendra,Edwards,1972-11-09,female,2020-08-23,inactive,note,admin,Ulrike-Misicher-Gasse 258,95931,Melsungen
zijc2242,yashei,yahe0001@stud.hs-kl.de,Yasemin,Heinrich,2003-05-23,male,2020-09-12,active,note,user,Clarissa-Trüb-Platz 9/1,09238,Auerbach
d1n65yfp,frepic,frpi0001@stud.hs-kl.de,Frédéric,Picard,1984-11-17,diverse,2021-04-20,active,note,user,Mechthilde-Dörr-Gasse 22,75895,Großenhain
yirduued,phigre,phgr0001@stud.hs-kl.de,Philippe,Gregoire,2020-06-30,male,2020-09-14,banned,note,user,Zahnplatz 4,06032,Saulgau
qjliencs,edibri,edbr0001@stud.hs-kl.de,Édith,Briand,2006-12-16,male,2020-11-16,active,note,admin,Nuran-Eigenwillig-Ring 5/9,39649,Schwerin
t1c3iefk,vicbig,vibi0001@stud.hs-kl.de,Victoria,Biggen,1977-12-01,diverse,2020-05-02,banned,note,user,Lindnerstraße 582,14921,Bremervörde
q3so6iau,adengu,adng0001@stud.hs-kl.de,Adèle,Nguyen,1993-01-10,male,2020-04-30,active,note,user,Rädelstraße 4/5,72499,Lüdenscheid
geljudmy,wolnet,wone0001@stud.hs-kl.de,Wolf,Nette,2009-10-09,diverse,2021-01-16,active,note,admin,Benderstraße 740,59913,Darmstadt
4iefopw9,robsmi,rosm0001@stud.hs-kl.de,Robert,Smith,2013-07-18,female,2021-06-11,active,note,user,Pruschkestraße 519,57697,Marktheidenfeld
yhn1ajl3,jaqhei,jahe0001@stud.hs-kl.de,Jaqueline,Hein,1975-12-14,female,2020-09-19,banned,note,user,Bohlanderallee 096,14236,Genthin
nlapfegc,scomoo,scmo0001@stud.hs-kl.de,Scott,Moore,1995-12-11,female,2020-01-08,banned,note,admin,Lena-Drubin-Ring 52,73278,Senftenberg
aywj49gn,annbar,anba0001@stud.hs-kl.de,Anneli,Barth,1992-03-17,diverse,2021-04-12,inactive,note,admin,Wilmsenplatz 11,27549,Eichstätt
clkng4qx,eliray,elra0001@stud.hs-kl.de,Élise,Raymond,1976-08-28,male,2019-12-01,banned,note,user,Holtring 5/3,89240,Ribnitz-Damgarten
frxqa5vk,phifer,phfe0001@stud.hs-kl.de,Philippe,Fernandez,1991-11-26,diverse,2019-12-24,inactive,note,admin,Tim-Wieloch-Straße 1/1,53077,Eisenach
aol9ahrk,soprie,sori0001@stud.hs-kl.de,Sophie,Riehl,1976-07-10,female,2019-12-17,banned,note,user,Robert-Austermühle-Platz 9/2,31645,Eilenburg
m2i8kosi,isaaug,isau0001@stud.hs-kl.de,Isaac,Auger,2012-10-26,male,2021-04-05,inactive,note,user,Janko-Bonbach-Platz 5,75432,Meißen
3a54dz9i,annfri,anfr0001@stud.hs-kl.de,Annelene,Fritsch,1988-10-10,female,2020-03-11,inactive,note,user,Kuhlstraße 2/8,15895,Havelberg
dq68zntc,ivasto,ivst0001@stud.hs-kl.de,Ivanka,Stolze,1996-04-10,female,2019-10-21,active,note,user,Klingelhöferweg 42,73046,Viechtach
rfgn8q2h,brimoo,brmo0001@stud.hs-kl.de,Brian,Moore,1996-06-22,diverse,2021-07-18,active,note,admin,Zeljko-Weiß-Allee 9,74932,Lörrach
xeix0ubj,thosch,thsc0001@stud.hs-kl.de,Thorben,Scholl,1976-07-02,female,2020-08-09,banned,note,admin,Hans-Eberhard-Benthin-Ring 31,63794,Vohenstrauß
but5p508,dongom,dogo0001@stud.hs-kl.de,Donna,Gomez,1984-05-09,female,2021-07-13,inactive,note,user,Hänelplatz 6/6,03208,Gadebusch
mkq83x6b,emigir,emgi0001@stud.hs-kl.de,Émile,Giraud,2000-11-28,female,2019-09-12,inactive,note,user,Reisingring 75,26816,Bad Kissingen
zhmvsjn6,annbud,anbu0001@stud.hs-kl.de,Annaliese,Budig,1992-11-12,male,2021-05-13,active,note,admin,Philippe-Adler-Ring 2/4,18987,Geldern
zkvyxuq5,aurrio,auri0001@stud.hs-kl.de,Aurore,Riou,1979-02-07,male,2020-06-04,banned,note,user,Heuserplatz 377,24346,Regen
lrcckwf7,stegeo,stge0001@stud.hs-kl.de,Stephanie,George,2020-12-29,female,2019-09-13,banned,note,admin,Beckmannstraße 690,65851,Herzberg
nfzhj8n9,jenbea,jebe0001@stud.hs-kl.de,Jennifer,Bean,1989-04-04,female,2020-05-27,banned,note,user,Junkengasse 7/9,08534,Eisenach
a5t9rcwt,catlel,cale0001@stud.hs-kl.de,Catherine,Lelievre,2016-03-10,male,2020-03-31,inactive,note,admin,Jan-Peter-Ruppersberger-Platz 06,58030,Northeim
qmo6j1ax,alihet,alhe0001@stud.hs-kl.de,Alice,Hethur,1970-07-07,diverse,2019-12-20,active,note,user,Maurizio-Austermühle-Ring 5/6,65798,Darmstadt
0fy2rovu,breroy,brro0001@stud.hs-kl.de,Brenda,Roy,1979-09-29,male,2019-07-23,inactive,note,admin,Ante-Warmer-Straße 98,29094,Paderborn
pwomdox1,benorr,beor0001@stud.hs-kl.de,Benjamin,Orr,1999-12-15,male,2019-07-22,banned,note,user,Conny-Kruschwitz-Allee 6/2,15977,Demmin
c0ob37gs,marwin,mawi0001@stud.hs-kl.de,Margita,Winkler,1985-02-10,diverse,2020-04-13,active,note,user,Nuran-Stolze-Ring 005,60327,Hettstedt
4fecrout,ashcol,asco0001@stud.hs-kl.de,Ashley,Collins,2014-02-26,diverse,2020-03-08,banned,note,user,Senol-Drewes-Allee 1/1,87775,Meißen
16b8f04n,marper,mape0001@stud.hs-kl.de,Marthe,Perrot,2010-02-27,female,2020-06-03,active,note,user,Hellwigallee 904,85496,Neustadt am Rübenberge
g6jp35xv,micwil,miwi0001@stud.hs-kl.de,Michael,Wilson,1995-03-29,diverse,2021-06-05,banned,note,user,Inge-Juncken-Gasse 0,12146,Wolgast
f2721qew,idafie,idfi0001@stud.hs-kl.de,Ida,Fiebig,2019-10-19,male,2020-12-03,active,note,admin,Hans-Joachim-Otto-Weg 6,69304,Hohenstein-Ernstthal
usmdm0mb,edelan,edla0001@stud.hs-kl.de,Edeltrud,Langern,2000-07-08,male,2020-09-05,inactive,note,user,Krauseplatz 2,60042,Altentreptow
cb04nq66,keldia,kedi0001@stud.hs-kl.de,Kelly,Diaz,1996-10-16,female,2021-06-13,banned,note,admin,Kargestraße 22,29593,Dinkelsbühl
hs5y7dmw,anddel,ande0001@stud.hs-kl.de,Andrée,Delattre,2018-03-04,diverse,2021-02-16,inactive,note,user,Henning-Fiebig-Allee 9,31388,Geithain
s6q7njoz,laude ,lade0001@stud.hs-kl.de,Laurent,De Sousa,1992-07-04,diverse,2020-09-12,active,note,user,Danica-Zänker-Platz 7/5,07727,Hildburghausen
