cardID,username,email,prename,surname,birthDate,sex,validityDate,state,note,rights,street,postcode,city8rjfs8st,piusch,pisc0001@stud.hs-kl.de,Pius,Schmidt,1989-12-23,female,2021-05-13,inactive,note,admin,Friedhilde-Gröttner-Platz 75,16775,Bad Langensalza
0zoq6j96,matsei,mase0001@stud.hs-kl.de,Matthias,Seifert,2003-11-03,male,2019-11-14,inactive,note,user,Ljudmila-Bolander-Weg 77,35426,Nürtingen
gtv61iyy,thewag,thwa0001@stud.hs-kl.de,Thea,Wagenknecht,1994-10-26,diverse,2019-12-03,banned,note,user,Stiebitzweg 0/8,83781,Konstanz
hip05poq,healop,helo0001@stud.hs-kl.de,Heather,Lopez,1984-03-13,male,2020-01-31,active,note,user,Armin-Finke-Allee 0,34280,Rochlitz
c3o8ertu,hanmon,hamo0001@stud.hs-kl.de,Hannah,Montes,1995-09-24,diverse,2021-05-07,banned,note,admin,Stollweg 2/9,98797,Iserlohn
umb5wkyi,laudup,ladu0001@stud.hs-kl.de,Laure,Dupuy,1974-02-27,male,2020-08-06,inactive,note,user,Müllerweg 917,82742,Naila
8604u3ki,raybar,raba0001@stud.hs-kl.de,Raymond,Baron,1977-07-17,female,2019-09-16,banned,note,admin,Mangoldplatz 5/4,39536,Bogen
loohcvho,emmmar,emma0001@stud.hs-kl.de,Emmanuelle,Marion,1998-10-15,female,2020-02-25,active,note,admin,Tassilo-Holzapfel-Straße 562,55812,Angermünde
hpas1bhk,tergei,tege0001@stud.hs-kl.de,Teresa,Geisler,1999-06-08,diverse,2021-06-27,inactive,note,admin,Veronique-Roskoth-Allee 7/4,11330,Amberg
rndjkre3,diebee,dibe0001@stud.hs-kl.de,Diethard,Beer,2000-04-23,diverse,2019-12-14,banned,note,admin,Angelina-Faust-Platz 2,21460,Emmendingen
ymjt0ixe,johsal,josa0001@stud.hs-kl.de,Johanna,Salz,1986-03-03,diverse,2021-01-03,inactive,note,admin,Pieperstr. 72,26792,Meppen
pl9fx868,thelem,thle0001@stud.hs-kl.de,Théodore,Lemoine,1982-02-14,male,2020-06-04,banned,note,user,Hanns-Dobes-Gasse 1,91249,Tirschenreuth
ozybq7ar,vinric,viri0001@stud.hs-kl.de,Vincent,Rice,1976-05-11,female,2020-12-14,banned,note,user,Rosmarie-Geißler-Platz 470,73741,Mühlhausen
c2vect0o,lousag,losa0001@stud.hs-kl.de,Louis,Sager,2001-06-11,diverse,2019-11-02,inactive,note,user,Kruschwitzallee 1,89629,Cuxhaven
c0gs2mk3,kevbre,kebr0001@stud.hs-kl.de,Kevin,Brewer,1995-04-25,diverse,2020-11-28,active,note,admin,Daria-Hamann-Ring 1,31323,Miesbach
wozd9j6m,marle ,male0001@stud.hs-kl.de,Marie,Le Goff,1971-02-03,male,2019-08-31,inactive,note,admin,Baumweg 54,50423,Jüterbog
9g547wq8,isawal,iswa0001@stud.hs-kl.de,Isabel,Walker,1998-04-11,male,2020-04-21,active,note,user,Karen-Albers-Gasse 8,42032,Hainichen
p8dl358h,coujoh,cojo0001@stud.hs-kl.de,Courtney,Johnson,2007-06-16,female,2020-04-25,inactive,note,admin,Döringplatz 29,64346,Kassel
